Year,Population
2001,55399
2002,60592
2003,66149
2004,71532
2005,76197
2006,80154
2007,85141
2008,89792
2009,94330
2010,97578
2011,100228
2012,107573
2013,118707
2014,127975
2015,136873
2016,146099
2017,155992
2018,163449
2019,169106
2020,170785
2021,153655
